Rank,Model,Test R²,Train R²,Overfit Gap,RMSE,MAE,Composite Score
1,Linear Regression,0.0,0.0,0.0,28.885,25.0261,0.6
2,Ridge (α=1),0.0,0.0,0.0,28.885,25.0261,0.6
