Rank,Model,Accuracy,F1,Precision,Recall,MCC,CV Mean,CV Std
1,Logistic Regression,0.9999,0.9999,0.9999,0.9999,0.9998,0.9998,0.0
2,KNN (k=7),0.9786,0.9786,0.9786,0.9786,0.9679,0.9777,0.0002
