Model,R²,Adj R²,RMSE,MAE,MAPE (%),Expl Var,Overfit Gap
Linear Regression,0.0,-0.0,28.885,25.0261,937.62,0.0,0.0
Ridge (α=1),0.0,-0.0,28.885,25.0261,937.62,0.0,0.0
