Model,Accuracy,Bal Accuracy,F1 (weighted),Precision,Recall,MCC,Cohen Kappa,AUC-ROC,CV Mean,CV Std
Logistic Regression,0.9999,0.9999,0.9999,0.9999,0.9999,0.9998,0.9998,1.0,0.9998,0.0
KNN (k=7),0.9786,0.9786,0.9786,0.9786,0.9786,0.9679,0.9679,0.999,0.9777,0.0002
